Crimes,cityKod,city,crimeType
196,9600,קרית ים,איומים
196,8200,קרית מוצקין,איומים
195,7900,פתח תקווה,עבירות הנוגעות לנחלת משפט
195,70,אשדוד,עבירות על חוק הכניסה לישראל
194,70,אשדוד,חבלה גופנית חמורה
194,3000,ירושלים,רשלנות ופחזות פלילית
192,9600,קרית ים,(תקיפה (למעט עובדי ציבור
192,1034,קרית מלאכי,איומים
191,8700,רעננה,גניבות אחרות
191,9000,באר שבע,החזקת סמים שלא לצריכה עצמית
191,6100,בני ברק,עבירות על חוק הכניסה לישראל
190,541,ג'סר א זרקא,עבירות נגד הסדר הצבורי
189,2560,ערד,איומים
185,6200,בת ים,עבירות על חוק הכניסה לישראל
184,2610,בית שמש,גניבות אחרות
184,5000,תל אביב יפו,החזקת כלי פריצה
183,7900,פתח תקווה,מרמה ועושק
183,6500,חדרה,עבירות הנוגעות לנחלת משפט
183,7700,עפולה,עבירות הנוגעות לנחלת משפט
182,2400,אור יהודה,איומים
182,2710,אום אל-פחם,גרימת נזק לרכוש בזדון
182,7100,אשקלון,חבלה גופנית חמורה
181,8900,טמרה,גרימת נזק לרכוש בזדון
181,70,אשדוד,תקיפת והכשלת שוטר
180,1139,כרמיאל,(תקיפה (למעט עובדי ציבור
179,3000,ירושלים,גניבת אופניים
179,8600,רמת גן,עבירות על חוק הכניסה לישראל
178,2640,ראש העין,גניבה שמוש רכב ללא רשות
177,9500,קרית ביאליק,גניבות אחרות
177,8800,שפרעם,עבירות נגד הסדר הצבורי
176,9700,הוד השרון,איומים
176,6500,חדרה,גניבה שמוש רכב ללא רשות
175,2720,טירה,(תקיפה (למעט עובדי ציבור
175,8700,רעננה,(תקיפה (למעט עובדי ציבור
175,2610,בית שמש,גרימת נזק לרכוש בזדון
175,3000,ירושלים,שמוש בסמים מסוכנים
174,5000,תל אביב יפו,זיוף מסמכים והפצתם
174,2730,טייבה,עבירות נגד הסדר הצבורי
173,9000,באר שבע,חבלה גופנית חמורה
173,8600,רמת גן,עבירות הנוגעות לנחלת משפט
172,1031,שדרות,איומים
172,6600,חולון,עבירות על חוק הכניסה לישראל
171,2730,טייבה,(תקיפה (למעט עובדי ציבור
171,1034,קרית מלאכי,(תקיפה (למעט עובדי ציבור
171,7300,נצרת,עבירות אחרות כלפי בטחון
170,6900,כפר סבא,גרימת נזק לרכוש בזדון
170,9000,באר שבע,עבירות פיסקליות
169,7400,נתניה,מרמה ועושק
167,1061,נוף הגליל,גניבות אחרות
167,3000,ירושלים,גניבת חלקי רכב
165,9500,קרית ביאליק,(תקיפה (למעט עובדי ציבור
165,9600,קרית ים,גניבות אחרות
165,4000,חיפה,חבלה גופנית חמורה
165,7500,סח'נין,עבירות נגד הסדר הצבורי
164,8700,רעננה,איומים
164,2200,דימונה,גרימת נזק לרכוש בזדון
164,1061,נוף הגליל,גרימת נזק לרכוש בזדון
164,7500,סח'נין,גרימת נזק לרכוש בזדון
163,8800,שפרעם,(תקיפה (למעט עובדי ציבור
163,7400,נתניה,התפרצות לבית דירה
163,1292,ג'דיידה-מכר,עבירות נגד הסדר הצבורי
162,2610,בית שמש,עבירות נגד הסדר הצבורי
162,9000,באר שבע,עבירות על חוק הכניסה לישראל
161,2560,ערד,(תקיפה (למעט עובדי ציבור
161,70,אשדוד,גניבה שמוש רכב ללא רשות
161,8400,רחובות,מרמה ועושק
160,7500,סח'נין,איומים
159,1192,ערערה-בנגב,עבירות נגד הסדר הצבורי
158,8000,צפת,(תקיפה (למעט עובדי ציבור
157,6200,בת ים,מרמה ועושק
157,8300,ראשון לציון,עבירות על חוק הכניסה לישראל
156,31,אופקים,(תקיפה (למעט עובדי ציבור
156,8900,טמרה,(תקיפה (למעט עובדי ציבור
156,7800,פרדס חנה-כרכור,איומים
156,6300,גבעתיים,גניבות אחרות
153,7900,פתח תקווה,עבירות פיסקליות
152,1031,שדרות,(תקיפה (למעט עובדי ציבור
152,2710,אום אל-פחם,איומים
152,541,ג'סר א זרקא,גרימת נזק לרכוש בזדון
152,6600,חולון,מרמה ועושק
152,6100,בני ברק,עבירות הנוגעות לנחלת משפט
151,1200,מודיעין-מכבים-רעות,(תקיפה (למעט עובדי ציבור
151,2100,טירת כרמל,איומים
151,5000,תל אביב יפו,מעשה מגונה בכח
150,874,מגדל העמק,(תקיפה (למעט עובדי ציבור
149,1292,ג'דיידה-מכר,איומים
148,541,ג'סר א זרקא,(תקיפה (למעט עובדי ציבור
148,8200,קרית מוצקין,גניבות אחרות
148,8600,רמת גן,מרמה ועושק
147,541,ג'סר א זרקא,איומים
147,1139,כרמיאל,איומים
147,2610,בית שמש,עבירות הנוגעות לנחלת משפט
147,6200,בת ים,עבירות פיסקליות
146,7100,אשקלון,התפרצות לבית דירה
146,6700,טבריה,עבירות נגד הסדר הצבורי
145,8200,קרית מוצקין,(תקיפה (למעט עובדי ציבור
145,1020,אור עקיבא,איומים
145,8500,רמלה,עבירות הנוגעות לנחלת משפט
145,6100,בני ברק,עבירות נגד הסדר הצבורי
144,4000,חיפה,שמוש בסמים מסוכנים
143,874,מגדל העמק,איומים
143,1200,מודיעין-מכבים-רעות,איומים
143,5000,תל אביב יפו,מטרד רעש וחסימת דרך
143,1161,רהט,עבירות אחרות כלפי בטחון
143,7100,אשקלון,תקיפת והכשלת שוטר
142,9700,הוד השרון,(תקיפה (למעט עובדי ציבור
141,8600,רמת גן,גניבת אופניים
140,168,כפר יונה,איומים
140,8800,שפרעם,גרימת נזק לרכוש בזדון
140,6500,חדרה,עבירות נגד הסדר הצבורי
139,9100,נהריה,גרימת נזק לרכוש בזדון
139,6800,קרית אתא,גרימת נזק לרכוש בזדון
